"company","serial_number","name","asset_tag","manufacturer","u_manufacturer_part_number","u_parent_asset","location"
"Island Health","1826036-0021","AO000473-CRT","C018348","ERGOTRON","C50-3510-0","AO000473","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor"
"Island Health","1826917-0039","AO000704-CRT","C018349","ERGOTRON","C50-3510-0","AO000704","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1826116-0027","AO001107-CRT","C018350","ERGOTRON","C50-3510-0","AO001107","VIHA-VSQV-Victoria Summit Quadra Village-Main Building-4th Floor"
"Island Health","1826513-0056","AO001074-CRT","C018356","ERGOTRON","C50-3510-0","AO001074","VIHA-VSQV-Victoria Summit Quadra Village-Main Building-3rd Floor"
"Island Health","1826512-0098","AO000479-CRT","C018365","ERGOTRON","C50-3510-0","AO000479","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor"
"Island Health","1826612-0006","AO001124-CRT","C018367","ERGOTRON","C50-3500-0","AO001124","VIHA-NQUPCC-North Quadra Urgent and Primary Care Centre-Main Building-1st Floor"
"Island Health","1845011-0053","AO000937-CRT","C018370","ERGOTRON","C50-3510-0","AO000937","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-1st Floor"
"Island Health","1820404-0020","AO000503-CRT","C018371","ERGOTRON","C50-3510-0","AO000503","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor"
"Island Health","1826612-0021","AO000967-CRT","C018376","ERGOTRON","C50-3510-0","AO000967","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor"
"Island Health","1827415-0081","AO000482-CRT","C018377","ERGOTRON","C50-3510-0","AO000482","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor"
"Island Health","1826612-0055","AO000458-CRT","C018378","ERGOTRON","C50-3500-0","AO000458","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor"
"Island Health","1827415-0076","AO000446-CRT","C018381","ERGOTRON","C50-3500-0","AO000453","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor"
"Island Health","1844008-0086","AO000507-CRT","C018384","ERGOTRON","C50-3510-0","AO000507","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor"
"Island Health","1896908-0002","AO400227-CRT","C018453","ERGOTRON","SV43-2570-0","AO400227","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-3rd Floor"
"Island Health","1866713-0006","AO400022-CRT","C018572","ERGOTRON","C50-3510-0","AO400022","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor"
"Island Health","1866713-0001","AO400059-CRT","C018574","ERGOTRON","C50-3510-0","AO400059","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor"
"Island Health","1866713-0007","AO400055-CRT","C018575","ERGOTRON","SV43-2570-0","AO400055","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor"
"Island Health","1326010-0041","AO001610-CRT","C018621","ERGOTRON","C50-3500-0","AO001610","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building"
"Island Health","1848799-0028","AO400450-CRT","C018628","ERGOTRON","C50-3500-0","AO400450","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","1848907-0020","AO400452-CRT","C018645","ERGOTRON","C50-3500-0","AO400452","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","1848907-0029","AO001493-CRT","C018681","ERGOTRON","C50-3500-0","AO001493","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","1886304-0001","AO400031-CRT","C018684","ERGOTRON","SV43-2570-0","AO400031","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor"
"Island Health","1896906-0037","AO005107-CRT","C018698","ERGOTRON","C50-3510-0","AO005107","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor"
"Island Health","1896907-0001","AO001609-CRT","C018709","ERGOTRON","C50-3510-0","AO000419","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor"
"Island Health","1896907-0045","AO005125-CRT","C018711","ERGOTRON","C50-3510-0","AO005125","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-Basement 1"
"Island Health","1886911-0008","AO400237-CRT","C018740","ERGOTRON","SV43-2570-0","AO400237","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-4th Floor"
"Island Health","1901298-0001","AO001551-CRT","C018754","ERGOTRON","C50-3500-0","AO001551","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1"
"Island Health","1297848-0061","AO400317-CRT","C018774","ERGOTRON","SV43-2570-0","AO400317","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-3rd Floor"
"Island Health","1886405-0122","AO001528-CRT","C018776","ERGOTRON","C50-3510-0","AO001528","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor"
"Island Health","1886405-0105","AO001529-CRT","C018777","ERGOTRON","C50-3510-0","AO001529","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor"
