"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC031977","PC031977","HSS-8058362","26KHRH3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","Laboratory (Right of Lab)","","VIHATRP20220425-028","07/31/2030","NTT-Deskside Services-PortHardy-Staffed"
"PC035160","PC035160","HSS-8058369","26SJRH3","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor","Main Building","Front Office","","VIHATRP20220425-033","08/31/2030","NTT-Deskside Services-PortHardy-Remote"
"LD035969","LD035969","HSS-8095041","2958W14","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","Office beside  Xray","1","ISLHTRP20250901-012","09/30/2030","NTT-Deskside Services-PortHardy-Staffed"
"LD027179","LD027179","HSS-8088028","29F4VZ3","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor","Main Building","Social Work Office","1","VIHATRP20240624-037","08/31/2032","NTT-Deskside Services-PortHardy-Remote"
"PC047073","PC047073","HSS-8058377","29SJRH3","VIHA-SHC-Sointula Health Clinic-Main Building-1st Floor","Main Building","Reception","1","VIHATRP20220425-038","07/31/2030","NTT-Deskside Services-PortHardy-Remote"
"PC057606","PC057606","HSS-8058439","2CPKRH3","VIHA-CICHC-Cormorant Island Community Health Centre-Main Building-1st Floor","Main Building","106-Trauma room","","VIHATRP20220502-019","07/31/2030","NTT-Deskside Services-PortHardy-Remote"
"PC030105","PC030105","HSS-8074326","2DKTVP3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Xray (Front Desk)","1","VIHATRP20230509-058","08/31/2031","NTT-Deskside Services-PortHardy-Remote"
"PC076690","PC076690","HSS-1031554","2DXKGC3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Main Building","Boardroom","1","REQ0425531-RITM0446153-SCTASK0689977","02/28/2030","NTT-Deskside Services-PortHardy-Remote"
"LD035974","LD035974","HSS-8023971","2GTKGC3","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor","Main Building","ROOM #5","1","VIHATRP20210830-001","11/30/2029","NTT-Deskside Services-PortHardy-Remote"
"LD080106","LD080106","HSS-1037074","2HZ50N3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Indigenous Health","1","REQ0671847-RITM0705761-SCTASK1108202","10/31/2030","NTT-Deskside Services-PortHardy-Local"
