"City","Location","Building","Floor","Room","Department"
"","","","","1147 Nuclear Medicine Control Room 1","CRT - Nanaimo"
"","","","","1147B - White Cell Room","CVH Emergency"
"","","","","1149 - Hot Lab Room at Nuclear Med","CVH Perioperative Intervention"
"","","","","115","CYF Admin"
"","","","","115 - Manager Office","CYF CI Cowichan"
"","","","","1155","CYF CI Nanaimo Community"
"","","","","1155 - Office 2","CYF CI North/West"
"","","","","1155 - WFH","CYF CI-Nanaimo Hsp Svc"
"","","","","1156","CYF NI Comox"
"","","","","1158","Dental Health"
"","","","","1158 - PACS Admin","Detox Adults - Central"
"","","","","1159","Develop Disab MH Services"
"","","","","116","Device Acquisition"
"","","","","1160","Device Integration"
"","","","","1161","Device Integration Office"
"","","","","1161 - X Ray Tech Area","Device Management"
"","","","","1162","Diabetes"
"","","","","1162 - Office","Diabetes Education"
"","","","","1162 -Dr. Robert Fulcher","Diabetes Education Center"
"","","","","1163 - CT Scan Control Room 1","Diabetes Education Centre"
"","","","","1165A - Fluoroscopy Area Office","Diabetes/Nutrition Admin"
"","","","","1165B - Fluoroscopy Room 5","Discovery Youth & Family Substance Use Services"
"","","","","1168 - Radiography Room 3","Dogwood Wing"
"","","","","117","Downtime Computer"
"","","","","117 - Team Lead RN","Drinking Water"
"","","","","1172","Eagle  Park"
"","","","","1176 - Radiography Control","Eagle Park"
"","","","","118","Early Years Prgm-Parksvill"
"","","","","1187","Echo"
"","","","","1188 - Cardio Lab","Echocardiography"
"","","","","1189","Educ & Prac Supp Admin"
"","","","","1189 - Cardiology Reporting","Electrical"
"","","","","119","Emergency"
"","","","","1190","Emergency Department"
"","","","","1190 Seafield Cres.","Emergency Operations Centre"
"","","","","1191","Emergency Operations Centre - (MHSU)"
"","","","","1191 - Cardiology Office","Employee Benefits"
"","","","","1192 - EDS Supervisor","Employee Records"
"","","","","1192 - Supervisor's Office","Employee Records Associates"
"","","","","1194 - Echo Booking Office","Employee Records-Nanaimo"
