"name","asset_tag","serial_number","location.city","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group"
"LD027284","HSS-8068883","79N2NN3","Courtenay","VIHA-CCRHC-Courtenay Cumberland Road Health Unit-Main Building-1st Floor","Main Building","154","1","VIHATRP20221121-007","01/31/2027","05/02/2024","General Rounding","Home Care Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD027547","HSS-8077314","DVBZ4X3","Courtenay","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","Main Building","Room 106","1","VIHATRP20230814-016","09/30/2027","05/22/2025","General Rounding","CCD Admin Support-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD027714","HSS-8091077","1BRHVW3","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1552","1","VIHATRP20241104-030","12/31/2028","03/06/2026","General Rounding","Minor Day Procedures","NTT-Deskside Services-NorthIsland-Staffed"
"LD028433","HSS-8079395","BZKZFY3","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","WFH - David Patten","0","VIHATRP20230916-075","11/30/2027","04/18/2024","Excluded","Projects - Facilities Design and Construction","NTT-Deskside Services-NorthIsland-Staffed"
"LD028700","HSS-8077374","1TNX4X3","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","No Room (Works remotely)","1","VIHATRP20230814-075","09/30/2027","","Excluded","Medical Imaging Admin","NTT-Deskside Services-NorthIsland-Staffed"
"LD028801","HSS-8090353","8B1TQW3","Courtenay","VIHA-CIHN-Courtenay Integrated Health Networks","","5","","VIHATRP20241007-017","11/30/2028","","General Rounding","","NTT-Deskside Services-NorthIsland-Local"
"LD028803","HSS-8085016","9R3YCW3","Courtenay","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","Main Building","Exam Room 7","1st Floor","VIHATRP20240101-014","04/30/2028","06/13/2025","General Rounding","Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD028804","HSS-8090351","8H6TQW3","Courtenay","VIHA-CIHN-Courtenay Integrated Health Networks","","8","","VIHATRP20241007-015","11/30/2028","","General Rounding","","NTT-Deskside Services-NorthIsland-Local"
"LD028843","HSS-8079408","HRWZFY3","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2422","2","VIHATRP20230916-089","11/30/2027","07/10/2025","General Rounding","Surgical Services","NTT-Deskside Services-NorthIsland-Staffed"
"LD028978","HSS-8090352","7YVSQW3","Courtenay","VIHA-CIHN-Courtenay Integrated Health Networks","","CV0620 (working from home)","","VIHATRP20241007-016","11/30/2028","","General Rounding","Provider Education & Standards","NTT-Deskside Services-NorthIsland-Local"
"LD029004","HSS-8085044","3WRTCW3","Comox","VIHA-SJC-St. Joseph's Campus","","WFH","","VIHATRP20240101-042","04/30/2028","","Excluded","Abil Mgt Consult & Accom","NTT-Deskside Services-NorthIsland-Local"
"LD029134","HSS-8087518","GMDVCW3","Courtenay","VIHA-CVHCC-Comox Valley Home & Community Care","","111","1","VIHATRP20240610-080","08/31/2028","","General Rounding","","NTT-Deskside Services-NorthIsland-Local"
"LD029682","HSS-8089256","1BKRCW3","Courtenay","VIHA-CCA_92-Courtenay Cliffe Avenue (#92)-Main Building-1st Floor","Main Building","Main Lobby","92)-Main Building-1st Floor","VIHATRP20240819-001","09/30/2028","","General Rounding","Comox Valley Com MHSU","NTT-Deskside Services-NorthIsland-Local"
"LD029932","HSS-8074862","D3DYHW3","Courtenay","VIHA-AMHO-Auxiliary Mental Health Office","Main Building","F1","1","VIHATRP20230605-001","07/31/2026","05/02/2024","General Rounding","Home Care Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD030160","HSS-8093206","391JX64","Comox","VIHA-SJC-St. Joseph's Campus-Main Building-2nd Floor","Main Building","223","2","ISLHTRP20250428-050","03/31/2029","02/05/2026","General Rounding","Cowichan Lodge Seniors & Adult - WFH Coulombe","NTT-Deskside Services-NorthIsland-Local"
"LD030192","HSS-8079321","7B2QDY3","Courtenay","VIHA-AMHO-Auxiliary Mental Health Office-Main Building-1st Floor","Main Building","14","2","VIHATRP20230916-004","11/30/2027","03/28/2024","General Rounding","Mental Health Services","NTT-Deskside Services-NorthIsland-Local"
"LD030257","HSS-8085013","HXRXCW3","Courtenay","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","Main Building","Exam Room 13","1","VIHATRP20240101-011","04/30/2028","01/27/2026","General Rounding","Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD030352","HSS-8068887","DJ1FLN3","Courtenay","VIHA-AMHO-Auxiliary Mental Health Office","Main Building","F12","1","VIHATRP20221121-011","01/31/2027","05/02/2024","General Rounding","Home Care Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD030422","HSS-8097450","PF5WY8BF","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","","1","ISLHTRP20260202-005","03/31/2030","","Excluded","WFH","NTT-Deskside Services-NorthIsland-Staffed"
"LD030486","HSS-8077388","5XBZ4X3","Courtenay","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","Main Building","Outreach Office","1","VIHATRP20230814-089","09/30/2027","01/27/2026","General Rounding","Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD030487","HSS-8068941","1CXDLN3","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","","","","VIHATRP20221121-071","01/31/2027","","General Rounding","","NTT-Deskside Services-NorthIsland-Staffed"
"LD030576","HSS-8085012","34FXCW3","Courtenay","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","Main Building","Outreach Office","1","VIHATRP20240101-010","04/30/2028","01/27/2026","General Rounding","Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD030589","HSS-8095971","D9JKP54","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","Admin","0th Floor","ISLHTRP20250929-001","03/31/2029","","General Rounding","Energy Env & Climate Chng","NTT-Deskside Services-NorthIsland-Staffed"
"LD030709","HSS-8084629","7XKKVH3","Courtenay","VIHA-CCA-Courtenay Cliffe Avenue-Main Building-1st Floor","Main Building","Rehab","1","VIHATRP20240318-099","04/30/2028","","General Rounding","Community Home Services","NTT-Deskside Services-NorthIsland-Local"
"LD030714","HSS-8097451","PF5WPYPT","Courtenay","VIHA-CVH-Comox Valley Hospital","WFH","","1","ISLHTRP20260202-006","03/31/2030","","General Rounding","Reception","NTT-Deskside Services-NorthIsland-Staffed"
"LD030716","HSS-8085009","8YRXCW3","Courtenay","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","Main Building","Exam Room 6","1","VIHATRP20240101-007","04/30/2028","06/13/2025","General Rounding","Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD030721","HSS-8077310","1FKZ4X3","Courtenay","VIHA-CVCHC-Comox Valley Community Health Centre-Main Building-1st Floor","Main Building","26","1","VIHATRP20230814-012","09/30/2027","04/16/2025","General Rounding","Public Health","NTT-Deskside Services-NorthIsland-Local"
"LD030723-NEW","HSS-1038580","G09GMN3","Courtenay","VIHA-CVH-Comox Valley Hospital","","CV4912","4","REQ2031360-RITM2145449-SCTASK3435740","01/31/2027","","General Rounding","","NTT-Deskside Services-NorthIsland-Staffed"
"LD030726","HSS-8092787","14JZFW3","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-4th Floor","Main Building","CV4739","4","VIHATRP20250331-023","03/31/2029","12/31/2025","General Rounding","Mental Health Inpatient Unit","NTT-Deskside Services-NorthIsland-Staffed"
"LD030792","HSS-8097817","PF5WKDXK","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building","","","","ISLHTRP20260302-003","","","General Rounding","n/a","NTT-Deskside Services-NorthIsland-Staffed"
"LD031248","HSS-8068920","FB2FLN3","Courtenay","VIHA-CHU-Coastal Health Unit-Main Building-2nd Floor","Main Building","15","2","VIHATRP20221121-047","02/28/2027","07/25/2025","General Rounding","Community Care & Licensing","NTT-Deskside Services-NorthIsland-Local"
"LD031256","HSS-8077348","809Z4X3","Courtenay","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","Main Building","Room 105","1","VIHATRP20230814-050","09/30/2027","02/28/2025","General Rounding","CCD Admin Support-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD031257","HSS-8077333","88HZ4X3","Courtenay","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","Main Building","Office Coordinator","1","VIHATRP20230814-035","09/30/2027","02/28/2025","General Rounding","CCD Admin Support-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD031258","HSS-8068880","407FLN3","Courtenay","VIHA-AMHO-Auxiliary Mental Health Office","Main Building","F9","1","VIHATRP20221121-004","01/31/2027","05/02/2024","General Rounding","Home Care Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD031259","HSS-8068886","8KM1NN3","Courtenay","VIHA-AMHO-Auxiliary Mental Health Office","Main Building","F9","1","VIHATRP20221121-010","01/31/2027","05/02/2024","General Rounding","Home Care Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD031260","HSS-8077366","BT6Y4X3","Courtenay","VIHA-CCA-Courtenay Cliffe Avenue","Main Building","C103","1","VIHATRP20230814-067","09/30/2027","05/22/2025","General Rounding","CCD Admin Support-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD031261","HSS-8077320","5HHZ4X3","Courtenay","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","Main Building","Room 105","1","VIHATRP20230814-022","09/30/2027","02/28/2025","General Rounding","CCD Admin Support-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD031265","HSS-8085015","GSQWCW3","Courtenay","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","Main Building","Team Leads Office - Sign Out 2","1","VIHATRP20240101-013","04/30/2028","06/13/2025","General Rounding","Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD031313","HSS-8012244","PC0SFMC0","Comox","VIHA-SJC-St. Joseph's Campus-Main Building-3rd Floor","Main Building","306","3","","07/31/2021","06/05/2025","General Rounding","Community Health Services (CHS)","NTT-Deskside Services-NorthIsland-Local"
"LD031573","HSS-8068919","23SFLN3","Courtenay","VIHA-CHU-Coastal Health Unit-Main Building-2nd Floor","Main Building","18","2","VIHATRP20221121-046","02/28/2027","01/02/2026","General Rounding","Community Care & Licensing - WFH Jennifer Stigter","NTT-Deskside Services-NorthIsland-Local"
