"City","Location","Building","Floor","Room","Department"
"","","","","Dietitian office",""
"","","","","Dietitian Office/Swing Office",""
"","","","","doctor's office 2",""
"","","","","Echo Department",""
"","","","","education area outside conference room",""
"","","","","education room #8",""
"","","","","Exam Rm 11",""
"","","","","Exam Rm 3",""
"","","","","Exam Room 1",""
"","","","","Exam Room 10",""
"","","","","Exam Room 13",""
"","","","","Exam Room 2",""
"","","","","Exam Room 4",""
"","","","","Exam Room 5",""
"","","","","Exam Room 6",""
"","","","","Exam Room 7",""
"","","","","Exam Room 8",""
"","","","","Exam Room 9",""
"","","","","False",""
"","","","","File Room",""
"","","","","FMO",""
"","","","","Front Admin Area - desk 4",""
"","","","","Front right office",""
"","","","","Gillian's office",""
"","","","","Glacier Room",""
"","","","","HCC - Social Worker",""
"","","","","Health Records Annex",""
"","","","","home",""
"","","","","Kitchen Office",""
"","","","","Lab",""
"","","","","Lab Office",""
"","","","","Laboratory",""
"","","","","Laundry (locked down zone)",""
"","","","","Lesly Deuchar",""
"","","","","Liz (back of Reception)",""
"","","","","Loaner",""
"","","","","Loaner 11",""
"","","","","Loaner 12",""
"","","","","Loaner 13",""
"","","","","Loaner 8 - WFH Traci Dolman",""
"","","","","Loaner 9",""
"","","","","Lobby",""
"","","","","Lunch Room",""
"","","","","Main Lobby",""
"","","","","Main reception",""
"","","","","Maintenance Office",""
"","","","","Maintenance Shop - WFH/Mobile sites",""
"","","","","Manager Office",""
"","","","","Manager's Office",""
"","","","","Meeting Room 1-3",""
"","","","","Mtg 4 (meeting room)",""
"","","","","name on door",""
"","","","","NEEDS UPDATE",""
"","","","","New OPS",""
"","","","","Nicole Sherwood",""
"","","","","No Room (Works remotely)",""
"","","","","none",""
"","","","","Not Onsite - WFH Amber Thomas",""
"","","","","Not Onsite - WFH Jennifer Hoyseth",""
"","","","","NTT Tech Office - WFH (Heather Gratton)",""
"","","","","Nurses Office",""
"","","","","Nurses Station",""
"","","","","Nursing station",""
"","","","","Office",""
"","","","","Office closest to reception",""
"","","","","Office Coordinator",""
"","","","","Office Coordinator - in a laptop box",""
"","","","","Office to the left of reception.",""
"","","","","Office with 3 computers",""
"","","","","OT/PT swing office",""
"","","","","Outreach Office",""
"","","","","Palliative Office Room 103",""
"","","","","Pharmacy Area",""
"","","","","Pharmacy area",""
"","","","","pharmacy office",""
"","","","","Pharmacy Office",""
"","","","","Psychiatry Inpatient Unit",""
"","","","","R109",""
"","","","","R119",""
"","","","","Reception",""
"","","","","Reception - new admin desk",""
"","","","","Reception (Back)",""
"","","","","Reception Area",""
"","","","","Recreation Office",""
"","","","","Rehab",""
"","","","","Resource Room",""
"","","","","Rm 112",""
"","","","","Room 102",""
"","","","","Room 103",""
"","","","","Room 105",""
"","","","","Room 106",""
"","","","","Room 110",""
"","","","","Room 111",""
"","","","","Room 112",""
"","","","","Room 117",""
"","","","","Room 118",""
"","","","","Room 120 - Treatment Room",""
"","","","","Room 123",""
"","","","","Room 125",""
"","","","","Room 126",""
"","","","","Room 127",""
"","","","","Room 128",""
"","","","","Room 129",""
"","","","","Room 2 at 92-1742 Cliffe",""
"","","","","Room 7",""
"","","","","Runway Room",""
"","","","","Shared Room",""
"","","","","Social Work/Clinical Nurse Lead Office",""
"","","","","Social Worker Office Primary Users: Kristen Vanderkerckhoeve, April Hofman",""
"","","","","Sound Booth",""
"","","","","Staff Room - WFH Madison Humphrey",""
"","","","","Supervisor Office",""
"","","","","Team Lead Office - Sign Out 1",""
"","","","","Team Leads",""
"","","","","Team Leads (used offsite)",""
"","","","","Team Leads Office - Sign Out 2",""
"","","","","Team Leads Office - Sign Out 5",""
"","","","","Telehealth Office",""
"","","","","Therapy Office",""
"","","","","Treatment Room",""
"","","","","Trista Galbraith - WFH",""
"","","","","UBC Collaborations Rooms",""
"","","","","Unit 200 room 5",""
"","","","","Unit Clerk",""
"","","","","Unknown",""
"","","","","Valley Room",""
"","","","","wellness centre",""
"","","","","WFH",""
"","","","","WFH - Carmen Brown",""
"","","","","WFH - CParadis3",""
"","","","","WFH - Danielle Guzzo",""
"","","","","WFH - David Patten",""
"","","","","WFH - Debb Theriault",""
"","","","","WFH - DMalecic",""
"","","","","WFH - Elaine Hanlon",""
"","","","","WFH - Jenny Nijhoff",""
"","","","","WFH - Katelyn Muir",""
"","","","","WFH - Kelly Kaspar",""
"","","","","WFH - Kyla Toomer",""
"","","","","WFH - Maura Garrett",""
"","","","","WFH - Michelle Thompson",""
"","","","","WFH - WCollingewagner",""
"","","","","WFH - Wendy Gibson",""
"","","","","WFH Jessica Arnott",""
"","","","","work from home",""
"","","","","work station 8",""
"","","","","Workstation 5",""
