City,Location,Building,Floor,Room,Department
,,,,102 (Pre-Admissions),Cowichan Hlth & Care Plan
,,,,102 (Ultrasound),Cowichan Home Support
,,,,1020,Cowichan HS Overnight Team
,,,,1020 (Health Records),Cowichan Lodge
,,,,1021 (Dictation Room),Cowichan Lodge Adult TMH
,,,,1022 (Booking Office),Cowichan Lodge Seniors TMH
,,,,1023A (Radiology),Cowichan Lodge-YSTAR
,,,,1023B (Radiology),Cowichan Valley Adm
,,,,1025 (Boardroom) Brenda Stager,Cowichan Valley Admin
,,,,1025 (EDU Floater),Cowichan Valley Home Support
,,,,1025 (Surgical Services),Cowichan Valley HS Admin
,,,,1026 (OR Booking),Cowichan Valley HS Nursing
,,,,103,Cowichan Valley MHSU
,,,,103 - in Storage (Telehealth),Cowichan Valley MHSU Community
,,,,103 (Ultrasound),Cowichan Valley PCN
,,,,1034 (Switchboard),CRM ASTAT
,,,,1038 (Staff Room),CRT
,,,,1039 (Reception),CSC HSCL Duncan
,,,,1039 (Rehab Area),CVH Inpatients - 3C & 3D
,,,,1039 (Side Office - Mobile),CYF CI Cowichan
,,,,104,Device Acquisition
,,,,104 (Chart Room),Diabetes & Geriatrics Clinic
,,,,104 (OR Booking),Diabetes & Nutrition Services
,,,,104 (Outpatient Laboratory),Dialysis
,,,,1045 (Accessions),Dietary
,,,,1045 (Back Office),DOT Nurse
,,,,1045 (Blood Bank),Duncan Community Hlth Services
,,,,1045 (Core Care),ECG
,,,,1045 (Hallway),Echocardiography
,,,,1045 (Hallway)(Collection Cart #1),Education and Practice Support
,,,,1045 (Hallway)(Collection Cart #2),Emergency
,,,,1045 (Hallway)(Collection Cart #3),End of Life
,,,,1045 (Hallway)(Collection Cart #4),Environmental Public Health
,,,,1045 (Hallway)(Collection Cart #5),Environmental Public Health Admin
,,,,1045 (Hallway)(Collection Cart #6),EWS Home Care
,,,,1045 (Hallway)(Collection Cart #7),Executive
,,,,1045 (Lab Core),Extended Care
,,,,1045 (Outside Core Care),Extended Care - Long Term Care
,,,,1046 (Reception),Facility Management and Operations (FMO)
,,,,105 (Consulting Services),Family Practice Clinic
,,,,105 (W1) Telehealth,Finance
,,,,1050 (Chief Technologist),"Finance, Budget Process & Financial Planning"
,,,,1052 (MDRD Decontamination),Fire & Safety
,,,,1053,Food Services
,,,,1058 (Doctor's Lounge),General Housing SI
,,,,106,Geriatric Specialty Services
,,,,106 (Exam Room),Health & Care Plan
,,,,1060 (Doctor's On-Call Room),Health Records
,,,,1066B (CT supervisors Office),Health Wellness & Safety
,,,,1067 (Cubby),Heart Function
,,,,1068 (PACU),Home & Community Care
,,,,1069 (Ophthalmology OR),Home Care Nursing (AL LPN 2)
,,,,107 (Clinical Day Care),Home Care Nursing (East HCN 1)
,,,,107 (Exam Room),Home Care Nursing (Float 1)
,,,,107 (Protection Services),Home Care Nursing (HCN Float 3)
,,,,1078 (Clean Utility Room),Home Care Nursing (HCN Palliative 3)
,,,,108,Home Care Nursing (Palliative HCN 2)
,,,,108 (CN),Home Care Nursing (South HCN 1)
,,,,108 (Exam Room),Home Care Nursing (South HCN 2)
,,,,108 (Office),Home Care Nursing (West HCN 1)
,,,,1080 (Cataract Clinic),Home Care Nursing (West HCN 2)
,,,,1081 (Radiologist),Home Care Services
,,,,1083 (CT Tech Station),Home Support Scheduling
,,,,1083 (Outside CT Tech Station),Hospice - End of Life
,,,,1088 (Mammography Office),Hospital At Home
,,,,109 (Clinical Lead),Housekeeping
,,,,109 (Exam Room),Housekeeping Admin
,,,,1091 (Reception),HS Overnight Team
,,,,1092 (Medical Imaging Booking),Human Resource Corporate Admin
,,,,1093 (Breast Imaging Room),Human Resources
,,,,1095 (X-Ray Tech Room 1),Human Resources - South Team 3
,,,,1096 (X-Ray Office),Implement - Project Management CDHRP
,,,,1098 (X-Ray Tech Room 3),Implement - Clinical
,,,,1099 (X-Ray Tech Room 2),Implement - Proj Mgmt Office
,,,,11,Infant Mental Health - CHF
,,,,11 (),Infection Control - Admin
,,,,11 (Samantha),Infection Prevention & Control
,,,,110 (Child Youth & Family Services),"Innovation, Analytics & Information"
,,,,110 (Exam Room),Intensive Care Unit (ICU)
,,,,1103 (Hallway),Lab - Point of Care
,,,,1104 (Inside Ortho),Lab Admin
