"City","Location","Building","Floor","Room","Department"
"Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","1","106 (Exam Room)","CHS Clinic"
"Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","1","107 (Exam Room)","CHS Clinic"
"Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","1","108 (Exam Room)","CHS Clinic"
"Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","1","109 (Exam Room)","CHS Clinic"
"Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","1","110 (Exam Room)","CHS Clinic"
"Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","1","111 (Exam Room) First Aid Room","CHS Clinic"
