"name","asset_tag","serial_number","location.city","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group"
"LD055635","HSS-8092708","JWNZFW3","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","219 - Not Found","2","ILSHTRP20250324-014","03/31/2029","01/23/2026","General Rounding","FS Cowichan Valley","NTT-Deskside Services-Cowichan-Local"
"LD055660","HSS-8092692","2YNZFW3","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","D83 - WFH","1st Floor","ILSHTRP20250324-001","03/31/2029","","Excluded","Assisted Living Admin","NTT-Deskside Services-Cowichan-Local"
"LD055792","HSS-8092707","FRHSFW3","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","257 (W119)","2","ILSHTRP20250324-013","03/31/2029","01/23/2026","General Rounding","Cowichan Health & Care","NTT-Deskside Services-Cowichan-Local"
"LD055910","HSS-1025170","CX80FB3","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","NOT FOUND","1","REQ0189193-RITM0197917-SCTASK0301582","08/31/2025","","General Rounding","ACT Team","NTT-Deskside Services-Cowichan-Local"
"LD055927","HSS-1025174","D6PZDB3","Duncan","VIHA-FHMH-Floral House Mental Health-Main Building-1st Floor","Main Building","2 (locked drawer)","1","REQ0189074-RITM0197795-SCTASK0297492","08/31/2025","03/13/2026","General Rounding","ACT Team","NTT-Deskside Services-Cowichan-Local"
"LD055967","HSS-8093118","7MPSFW3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","WFH Dr Peter Gotz","4","ISLHTRP20250421-040","03/31/2029","03/05/2026","Excluded","Psychiatry","NTT-Deskside Services-Cowichan-Staffed"
"LD055968","HSS-1048194","1072WH3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1053","1","REQ1497377-RITM1579789-SCTASK2537395","10/31/2028","01/02/2026","General Rounding","Administration","NTT-Deskside Services-Cowichan-Staffed"
"LD056049","HSS-8092696","C7GTFW3","Duncan","VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1","Main Building","21","G","ILSHTRP20250324-017","03/31/2029","03/26/2026","General Rounding","Public Health","NTT-Deskside Services-Cowichan-Local"
"LD056099","HSS-8095871","69ZP774","Salt Spring Island","VIHA-SSCHC-Salt Spring Island Creek House-Main Building-1st Floor","Main Building","Room 3 (Clinic Room)","1","ISLHTRP20250922-041","09/30/2029","03/19/2026","General Rounding","Public Health","NTT-Deskside Services-Cowichan-Remote"
"LD056409","HSS-1026436","FH1MDB3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","NOT FOUND (2083)","1","REQ0235911-RITM0247121-SCTASK0373356","08/31/2025","02/13/2026","General Rounding","Administration","NTT-Deskside Services-Cowichan-Staffed"
"LD056410","HSS-1026435","DT2JDB3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","NOT FOUND (2083)","1","REQ0235970-RITM0247185-SCTASK0373443","08/31/2025","","General Rounding","Administration","NTT-Deskside Services-Cowichan-Staffed"
"LD056530","HSS-8094674","3DTN774","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","129 (W33)","1","ISLHTRP20250728-044","07/31/2029","03/06/2026","General Rounding","Staffing","NTT-Deskside Services-Cowichan-Local"
"LD056576","HSS-8094675","GV5MR54","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","218 (W128) WFH - Corry Pettigrew","2","ISLHTRP20250728-045","03/31/2029","01/23/2026","Excluded","Implement-Clinical","NTT-Deskside Services-Cowichan-Local"
