"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD056771","LD056771","HSS-1027851","JB9TR63","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","339","3","REQ0277591-RITM0290670-SCTASK0447996","08/31/2029","NTT-Deskside Services-Cowichan-Staffed"
"LD030739","LD030739","HSS-8023685","JBGHL93","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","137","1","VIHATRP20210816-052","02/28/2030","NTT-Deskside Services-Cowichan-Local"
"LD080826","LD080826","HSS-1044092","JBK6PW3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3060 (CSO Office)","3","REQ1098436-RITM1156165-SCTASK1849784","12/31/2031","NTT-Deskside Services-Cowichan-Staffed"
"LD062042","LD062042","HSS-1037677","JBMMVF3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","120 (W103)","1","REQ0688982-RITM0723731-SCTASK1140526","11/30/2030","NTT-Deskside Services-Cowichan-Local"
"PC023522","PC023522","HSS-8083246","JC07PW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B31 (Staff Scheduling)","1","VIHATRP20240205-031","04/30/2032","NTT-Deskside Services-Cowichan-Local"
"LD033766","LD033766","HSS-8065730","JC660N3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","C - Reception(TBD)","1","VIHATRP20220815-118","11/30/2030","NTT-Deskside Services-Cowichan-Local"
"PC047343","PC047343","HSS-8073935","JC6PQT3","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","102 (Health Records)","1","VIHATRP20230424-017","07/31/2031","NTT-Deskside Services-Cowichan-Remote"
"LD072557","LD072557","HSS-1040064","JCB60N3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","WFH - Home Office (VPN)","1","REQ0790251-RITM0830164-SCTASK1308888","01/31/2031","NTT-Deskside Services-Cowichan-Staffed"
"PC039818","PC039818","HSS-8078401","JCHRQT3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1145 (Waiting Room Office)","1","INC2580172","01/31/2022","NTT-Deskside Services-Cowichan-Staffed"
"PC034311","PC034311","HSS-1985417","JCW60N3","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","Urgent Care (Physician Desk)(724)","1","DMND0003653 EMP","09/30/2030","NTT-Deskside Services-Cowichan-Local"
"LD061106","LD061106","HSS-1035014","JD0LGC3","VIHA-DCDF-Duncan Community Dialysis Facility-Main Building-1st Floor","Main Building","112 (CN)","1","REQ0590958-RITM0620633-SCTASK0972363","07/31/2030","NTT-Deskside Services-Cowichan-Local"
