"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD086267","LD086267","HSS-1033973","JDQHRH3","VIHA-AMHO-Auxiliary Mental Health Office","Main Building","F11","1","REQ0545070-RITM0572209-SCTASK0892598","06/30/2030","NTT-Deskside Services-NorthIsland-Local"
"PC025608","PC025608","HSS-8092298","JDW4W14","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1553","1","VIHATRP20250113","04/30/2033","NTT-Deskside Services-NorthIsland-Staffed"
"PC026190","PC026190","HSS-8026216","JF0MKF3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2931","","VIHATRP20220110-046","04/30/2030","NTT-Deskside Services-NorthIsland-Staffed"
"PC024442","PC024442","HSS-8092822","JF2LG14","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1430","1","VIHATRP20250331-020","06/30/2033","NTT-Deskside Services-NorthIsland-Staffed"
"PC026200","PC026200","HSS-8075024","JFLTVP3","VIHA-CVH-Comox Valley Hospital-Main Building-3rd Floor","Main Building","CV3129","3","VIHATRP20230605-044","08/31/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD069131","LD069131","HSS-1039390","JFN50N3","VIHA-CVH-Comox Valley Hospital","WFM","WFM","WFM","REQ2003321-RITM2115888-SCTASK3402682","02/28/2027","NTT-Deskside Services-NorthIsland-Staffed"
"LD027272","LD027272","HSS-8025563","JFNKGC3","VIHA-CCRHC-Courtenay Cumberland Road Health Unit-Main Building-1st Floor","Main Building","152","1","VIHATRP20211122-003","02/28/2030","NTT-Deskside Services-NorthIsland-Local"
"PC025608","PC025608","HSS-8092297","JFR4W14","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1553","1","VIHATRP20250113","04/30/2033","NTT-Deskside Services-NorthIsland-Staffed"
"LD024512","LD024512","HSS-1110011","JFW4W14","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV3805","3","INC3820305","06/30/2030","NTT-Deskside Services-NorthIsland-Staffed"
"LD058071","LD058071","HSS-8093223","JG2LG14","VIHA-CVMHAS-Comox Valley Mental Health & Addiction Services-Main Building-1st Floor","Main Building","2","1st Floor","ISLHTRP20250428-048","06/30/2033","NTT-Deskside Services-NorthIsland-Local"
"LD080914","LD080914","HSS-1030552","JGCKGC3","VIHA-SJC-St. Joseph's Campus-Main Building-2nd Floor","Main Building","228","2","REQ0377213-RITM0395116-SCTASK0626209","01/31/2030","NTT-Deskside Services-NorthIsland-Local"
"LD073807","LD073807","HSS-1033962","JGDHRH3","VIHA-AMHO-Auxiliary Mental Health Office","Main Building","F9","1","REQ0545073-RITM0572212-SCTASK0892595","06/30/2030","NTT-Deskside Services-NorthIsland-Local"
"LD033201","LD033201","HSS-8077421","JGDPQT3","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","Main Building","Room 129","1","VIHATRP20230814-023","10/31/2031","NTT-Deskside Services-NorthIsland-Local"
"PC037408","PC037408","HSS-8072655","JGDRVP3","VIHA-CVCHC-Comox Valley Community Health Centre-Main Building-1st Floor","Main Building","6","","VIHATRP20230227-038","05/31/2031","NTT-Deskside Services-NorthIsland-Local"
"PC024479","PC024479","","JGQP974","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","","CV2944","","INC4576629","","NTT-Deskside Services-NorthIsland-Staffed"
"PC024281","PC024281","HSS-8092295","JGR4W14","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1514","1","VIHATRP20250113","04/30/2033","NTT-Deskside Services-NorthIsland-Staffed"
"PC026395","PC026395","HSS-8090729","JH25TY3","VIHA-CVH-Comox Valley Hospital-Main Building-4th Floor","Main Building","CV4210","4","VIHATRP20241021","12/31/2032","NTT-Deskside Services-NorthIsland-Staffed"
"PC024461","PC024461","HSS-8091558","JH2LG14","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2912","2","VIHATRP20241202","02/28/2033","NTT-Deskside Services-NorthIsland-Staffed"
"LD061720","LD061720","HSS-8022988","JH8JGC3","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1411","1","VIHATRP20210712-044","10/31/2029","NTT-Deskside Services-NorthIsland-Staffed"
"LD080811","LD080811","HSS-1043445","JHDPQT3","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0325 - Workstation 4","0","REQ1021273-RITM1074435-SCTASK1720032","09/30/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD029134","LD029134","HSS-1044312","JHR6PW3","VIHA-CVHCC-Comox Valley Home & Community Care","","111","1","REQ1122096-RITM1180994-SCTASK1886439","12/31/2031","NTT-Deskside Services-NorthIsland-Local"
"PC026101","PC026101","HSS-8059377","JHRLVF3","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1611","","VIHATRP20220620-026","10/31/2030","NTT-Deskside Services-NorthIsland-Staffed"
"LD024352","LD024352","HSS-1111145","JHW4W14","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","","0","REQ1748198-RITM1844895-SCTASK2961128","06/30/2030","NTT-Deskside Services-NorthIsland-Staffed"
"LD065796","LD065796","HSS-8069062","JHX60N3","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","WFH - DMalecic","1","VIHATRP20221121-067","02/28/2031","NTT-Deskside Services-NorthIsland-Staffed"
