"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD080067","LD080067","HSS-1036828","J7SMVF3","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","Main Building","Main Room","1","REQ0650273-RITM0683149-SCTASK1081595","10/31/2030","NTT-Deskside Services-WestCoast-Local"
"LD105952","LD105952","HSS-1940510","J8M5VZ3","VIHA-UPR-Ucluelet Peninsula Road-Community Health Centre-1st Floor","Main Building","225","2","DMND0005390","10/31/2032","NTT-Deskside Services-WestCoast-Remote"
"PC074078","PC074078","HSS-1903208","J8N4TY3","VIHA-UPR-Ucluelet Peninsula Road-Community Health Centre-2nd Floor","Main Building","Admin","2","DMND0005135","12/31/2032","NTT-Deskside Services-WestCoast-Remote"
"LD065380","LD065380","HSS-1972928","J9TKGC3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","12","1","DMND0003120","12/31/2029","NTT-Deskside Services-WestCoast-Local"
"PC050094","PC050094","HSS-8086290","JCF4VZ3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2258 - Radiologist office","2","VIHATRP20240429-062","07/31/2032","NTT-Deskside Services-WestCoast-Staffed"
"LD033133","LD033133","HSS-8024951","JCJKGC3","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","12","1","VIHATRP20211025-007","01/31/2030","NTT-Deskside Services-WestCoast-Local"
"LD065208","LD065208","HSS-8024977","JDJKGC3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","7","1","VIHATRP20211025-026","01/31/2030","NTT-Deskside Services-WestCoast-Local"
"LD038211","LD038211","HSS-8058699","JDPKRH3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","5","1","VIHATRP20220505-041","08/31/2030","NTT-Deskside Services-WestCoast-Local"
"PC077220","PC077220","HSS-1984815","JDVJRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WCMedSur - Nursing Station - A Side Desk","","DMND0003637","10/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"PC033287","PC033287","HSS-1984838","JFGJRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","2115","2","DMND0003637","10/31/2030","NTT-Deskside Services-WestCoast-Staffed"
