"City","Location","Building","Floor","Room","Department"
"","","","","Dietician Flex","Med/Surg - Wing A"
"","","","","Doctors lounge","Med/Surg - Wing B"
"","","","","Educator Office -Room 2345","Medical Health Officer"
"","","","","Emergency","Medical Imag Clerical Adm"
"","","","","Emily Thorsteinsson Device","Medical Imaging"
"","","","","Exam Room","Medical Imaging (Radiologist's Office)"
"","","","","false","Medical Imaging Systems"
"","","","","first cubicle after reception","MedSurg Nurse's Station"
"","","","","First office on the right","MedSurge"
"","","","","Flex Desk 1","Mental Health & Addiction Services"
"","","","","Flex Desk 2","Mental Health & AS Admin"
"","","","","FMO Shop","Mental Health & Substance Abuse"
"","","","","Foundation office","MI Clerical & RIS Supp Admin"
"","","","","Front Meeting Room","MI System Data Management"
"","","","","Front Meeting Room (Intake Off","NI/CI Hospital Adm"
"","","","","Front Reception","Nurse Educator"
"","","","","Group Room","Nursing"
"","","","","Gya's device","Nursing - Med/Sur"
"","","","","Hallway - beside WC2906","Nursing - Primary Link"
"","","","","Hallway - WC2715","Nutrition Services"
"","","","","Hallway - WC2904","Operating Room"
"","","","","HCNO","OR"
"","","","","Health Records","PA Integrated Outreach"
"","","","","Health Records Room","PA Westcoast Admin Support"
"","","","","HOff","PA Westcoast MHSU"
"","","","","'-Home and Community / Liaison","PACS"
"","","","","Home and Community Care | Social Work Liaison","PAHC"
"","","","","Home and Community Care Office","Patient Food"
"","","","","Home Care Nursing office","PCN Port Alberni"
"","","","","Home Support Office","PDO"
"","","","","HOP 5","PFT Lab - WCGH RM2305"
"","","","","HSCL/CM office--Ashley Schuhmann","PH Immun COVID 19"
"","","","","ICU","PH Nursing-Pt Alberni"
"","","","","lab","Pharmacy"
"","","","","Lab","PHC Environmental Health"
"","","","","Laboratory","PHC Family Support Services"
"","","","","Laboratory - outside","PHC Public Health Admin"
"","","","","Laboratory reception","PHC West Coast Indigenous Hlth"
"","","","","Leader's office","Physical Therapy"
"","","","","Liaison 1","Physicians"
"","","","","Liaison 2","Physio Therapy"
"","","","","Main","Physiotherapy"
"","","","","main desk at dialysis unit.  Moved to 4201 6th ave","Plant Maintenance"
"","","","","Main Floor","Port Alberni ACT"
"","","","","main room","Port Alberni Addiction Svc"
"","","","","Main Room","Post Anaesthetic Care Unit"
"","","","","Manager Office","PPH Information Systems"
"","","","","Maternity","Practice Support Team"
"","","","","Med Surge","Pre-Analytics & Central Lab"
"","","","","Med/Surg","Pre-Analytics & Central Labora"
"","","","","Medical Imaging Front Computer","Primary Care"
"","","","","Meeting Room","Protection Services"
"","","","","Meeting Room B","Psychiatry"
"","","","","Mental Health","Psychiatry Care Centre"
"","","","","Mental Health and Substance Use large office","Public Health Admin"
"","","","","Mental Health and Substance Use smaller office","Pulmonary - Birch Clinic"
"","","","","Mental Health Services - reception","Pulmonary - Cardiac EDS IP"
"","","","","MHAS","Pulmonary - Cardiac Electrodiagnostics"
"","","","","Miranda's device","R37 Case Mgmt Coordination"
"","","","","Multi-Purpose Room","R37 Community Services Adm"
"","","","","N/A","Rehab"
"","","","","Natasha Dumont's Office","Remote Work"
"","","","","Natasha's Office","RJH 1N 1S & Interventnl Psych"
"","","","","none","Rural Health"
"","","","","North HCN","Scheduling"
"","","","","North HCN - TWS - Rapid Response","Social Services"
"","","","","Nurses office","Social Work"
"","","","","Nurses' office","Social Work West"
"","","","","Nurses' Station","Speech Language Pathology"
"","","","","Nursing","Storage"
"","","","","Nursing Lounge","Stores"
"","","","","nursing station","Surgical Services"
"","","","","Nursing Station","Team Lead"
"","","","","Nutrition Services","Team Leads"
"","","","","Office","Telehealth"
"","","","","Office ?space","TGH Admin"
"","","","","Office on Left","The Summit Long Term Care"
"","","","","Operating Room","Tofino General Hospital"
"","","","","OR","Unknown"
"","","","","Outreach","unknown"
"","","","","Outreach #7","VIHA-WCGH-West Coast General Hospital"
"","","","","Outreach 1","WCAmbulatory Care"
"","","","","Outreach 3","WCG Admin"
"","","","","PA NP Clinic","WCG Emergency"
"","","","","PACU","WCG Housekeeping"
"","","","","PAHC - HCN-TWH - Rapid Response","WCG Lab"
"","","","","PAHC - OT office (next to window)","WCG Nursing - Med/Sur"
"","","","","PAHC - South HCN","WCG Nursing/OB/Psych/Rural Srg"
"","","","","Patient Lounge Room 10","WCG Operating Room"
"","","","","Pharmacy - Automed Machine Area","WCG Pharmacy"
"","","","","PHNO","WCG Rehab"
"","","","","Physician Dictation Room","WCGH Physio"
"","","","","Physician viewing room/xray","WCGH Volunteer Resources"
"","","","","Physicians lounge","WCOR"
"","","","","Physician's Lounge","West Coast Community MHSU"
"","","","","Physio","West Coast Community Serv"
"","","","","Physio - far end of hallway","West Coast General"
"","","","","Psychiatry","Westhaven"
"","","","","PT Office","WFH - Valerie Firminger"
"","","","","Receptiion","WFH/TGH - 261 Neill St"
"","","","","Reception","Y-Star  Port Alberni"
"","","","","Reception - swing desk","Y-Star Port Alberni"
"","","","","Reception Area",""
"","","","","Reception Building 202",""
"","","","","Reception Office",""
"","","","","Rehab",""
"","","","","Rm 1",""
"","","","","Rm 3",""
