"SlNo","Asset Tag"
"88059","HSS-8058300"
"621","HSS-8074195"
"237579","HSS-8087966"
"235800","HSS-8087961"
"285387","HSS-8098507"
"280273","HSS-1112981"
"227695","HSS-8093854"
"244822","HSS-8090947"
"235313","HSS-8093373"
"230854","HSS-8086390"
"241748","HSS-8087029"
"201618","HSS-1988755"
"254234","HSS-8092311"
"136750","HSS-8081651"
"6666","HSS-8027184"
"152928","HSS-8060633"
"182901","HSS-8027185"
"288285","HSS-8100206"
"75070","HSS-8077646"
"245530","HSS-8089167"
"288081","HSS-8099567"
"288564","HSS-8099564"
"288087","HSS-8099566"
"247052","HSS-8089399"
"4377","HSS-8081649"
"288137","HSS-8099568"
"287571","HSS-8098694"
"288512","HSS-8099146"
"282184","HSS-8097954"
"40951","HSS-8077644"
"66188","HSS-8077645"
"228167","HSS-8094035"
"91649","HSS-8081647"
"137395","HSS-8077641"
"237337","HSS-8087251"
"83519","HSS-8081653"
"38532","HSS-8078357"
"97107","HSS-8078356"
"157192","HSS-8078359"
"167105","HSS-8078355"
"243476","HSS-8093496"
"233147","HSS-8094908"
"283106","HSS-8099368"
"280241","HSS-8098278"
"280100","HSS-8098281"
"244569","HSS-8090597"
"230903","HSS-8086992"
"283146","HSS-8099372"
"258287","HSS-8091780"
"11569","HSS-8076411"
"232005","HSS-8083638"
"98684","HSS-8078951"
"241732","HSS-8086791"
"89600","HSS-8074893"
"267365","HSS-8096139"
"101384","HSS-1042472"
"270917","HSS-8097296"
"33064","HSS-8070651"
"199619","HSS-8080302"
"245472","HSS-8089284"
"230232","HSS-8085018"
"189006","HSS-8080299"
"124193","HSS-8065465"
"271002","HSS-8097304"
"266942","HSS-8096413"
"229257","HSS-8093572"
"131125","HSS-8078950"
"174452","HSS-8078956"
"230932","HSS-8093567"
"244750","HSS-8089530"
"198687","HSS-8078892"
"143079","HSS-8026141"
"288306","HSS-8099492"
"288544","HSS-8099473"
"111523","C003169"
"203962","HSS-8070650"
"207048","HSS-8070606"
"230893","HSS-8083139"
"235323","HSS-8093569"
"227721","HSS-8093585"
"68202","HSS-8074894"
"249750","HSS-8091870"
"228394","HSS-8093573"
"244567","HSS-8089540"
"95391","HSS-1038974"
"47537","HSS-8060268"
"43306","HSS-8070632"
"72872","HSS-8074895"
"245465","HSS-8089283"
"266968","HSS-8096420"
"137672","HSS-8064844"
"230109","HSS-8085017"
"270811","HSS-8097298"
"79195","C003172"
"270926","HSS-8097301"
"267363","HSS-8096418"
"23994","C003171"
"257138","HSS-8094948"
"288229","HSS-8100325"
"270653","HSS-8097297"
"19590","HSS-8070636"
"35197","HSS-8070610"
"183018","HSS-1985499"
"10242","HSS-8070631"
"47427","HSS-8070633"
"46399","HSS-8065464"
"142215","HSS-8078937"
"103922","HSS-8024930"
"21837","HSS-8070637"
"166070","HSS-8065463"
"103603","HSS-8070611"
"82517","HSS-8078936"
"238465","HSS-1998340"
"247058","HSS-8089538"
"178226","HSS-8065468"
"116042","HSS-8070625"
"207178","HSS-8065467"
"168719","HSS-8070641"
"13135","HSS-8078948"
"144114","HSS-1037425"
"147603","HSS-8070644"
"267145","HSS-8096424"
"267022","HSS-8096150"
"270715","HSS-8097300"
"200853","HSS-8078889"
"160245","HSS-1985099"
"66166","HSS-8027538"
"281878","HSS-8097868"
"273261","HSS-8094950"
"288107","HSS-8099471"
"245457","HSS-1047562"
"288432","HSS-8099491"
"254262","HSS-8092387"
"261803","HSS-8096000"
"267305","HSS-8096147"
"267265","HSS-8096416"
"266875","HSS-8096411"
"279025","HSS-8096695"
"285178","HSS-8098028"
"277992","HSS-8096680"
"277973","HSS-8096676"
"261748","HSS-8096001"
"277935","HSS-8096685"
"277987","HSS-8096684"
"271023","HSS-8097850"
"17570","C003170"
"270661","HSS-8097299"
"257207","HSS-8094951"
"245466","HSS-8089285"
"154676","HSS-8079853"
"231120","HSS-8086967"
"106502","HSS-8079852"
