"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","po_number","u_scheduled_retirement","model_id"
"AO005567-CRT","AO005567-SCN","1991510-0091-SCN","1991510-0091-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005645-CRT","AO005645-SCN","1991510-0101-SCN","1991510-0101-SCN","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","","1128 (Hallway)","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005659-CRT","AO005659-SCN","1991510-0102-SCN","1991510-0102-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005667-CRT","AO005667-SCN","1991510-0105-SCN","1991510-0105-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005580-CRT","AO005580-SCN","1991510-0106-SCN","1991510-0106-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005648-CRT","AO005648-SCN","2010504-0069-SCN","2010504-0069-SCN","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005561-CRT","AO005561-SCN","2010504-0071-SCN","2010504-0071-SCN","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005591-CRT","AO005591-SCN","2011734-0001-SCN","2011734-0001-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005668-CRT","AO005668-SCN","2011734-0042-SCN","2011734-0042-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005568-CRT","AO005568-SCN","2011734-0090-SCN","2011734-0090-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005619-CRT","AO005619-SCN","2011734-0091-SCN","2011734-0091-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005579-CRT","AO005579-SCN","2011734-0092-SCN","2011734-0092-SCN","VIHA-RJH-Royal Jubilee Hospital-Royal Jubilee Main-1st Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005586-CRT","AO005586-SCN","2011734-0093-SCN","2011734-0093-SCN","VIHA-RJH-Royal Jubilee Hospital","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
