"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","po_number","u_scheduled_retirement","model_id"
"AO005639-CRT","AO005639-SCN","2014397-0052-SCN","2014397-0052-SCN","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005622-CRT","AO005622-SCN","2014397-0053-SCN","2014397-0053-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005641-CRT","AO005641-SCN","2014397-0054-SCN","2014397-0054-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005604-CRT","AO005604-SCN","2014397-0059-SCN","2014397-0059-SCN","VIHA-RJH-Royal Jubilee Hospital","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005626-CRT","AO005626-SCN","2014397-0060-SCN","2014397-0060-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005623-CRT","AO005623-SCN","2014397-0067-SCN","2014397-0067-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005600-CRT","AO005600-SCN","2014397-0068-SCN","2014397-0068-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005595-CRT","AO005595-SCN","2014397-0077-SCN","2014397-0077-SCN","VIHA-RJH-Royal Jubilee Hospital","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005566-CRT","AO005566-SCN","2014397-0078-SCN","2014397-0078-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005597-CRT","AO005597-SCN","2014397-0079-SCN","2014397-0079-SCN","VIHA-RJH-Royal Jubilee Hospital","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005565-CRT","AO005565-SCN","2014397-0080-SCN","2014397-0080-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005583-CRT","AO005583-SCN","2014397-0082-SCN","2014397-0082-SCN","VIHA-RJH-Royal Jubilee Hospital-Adanac Services-1st Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005617-CRT","AO005617-SCN","2014397-0087-SCN","2014397-0087-SCN","VIHA-RJH-Royal Jubilee Hospital","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005670-CRT","AO005670-SCN","2014397-0088-SCN","2014397-0088-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005654-CRT","AO005654-SCN","2014397-0089-SCN","2014397-0089-SCN","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005613-CRT","AO005613-SCN","2014397-0090-SCN","2014397-0090-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005647-CRT","AO005647-SCN","2014441-0006-SCN","2014441-0006-SCN","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005569-CRT","AO005569-SCN","2014441-0010-SCN","2014441-0010-SCN","VIHA-RJH-Royal Jubilee Hospital-West Block-1st Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005547-CRT","AO005547-SCN","2014441-0048-SCN","2014441-0048-SCN","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005646-CRT","AO005646-SCN","2014441-0053-SCN","2014441-0053-SCN","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005614-CRT","AO005614-SCN","2015092-0012-SCN","2015092-0012-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor","","PCC 3SE Hallway","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005563-CRT","AO005563-SCN","2015092-0034-SCN","2015092-0034-SCN","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"","C010987","C010987","20198010557302","VIHA-RJH-Royal Jubilee Hospital","","","","","ZEBRA BARCODE SCANNER DS8178-HC"
"AO400026-CRT","AO400026-SCN","C010539","20198010557371","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","","","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"","C008485","C008485","20199010552874","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","","","","",""
"","C017618","C017618","20199010553925","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","",""
"","C017622","C017622","20199010553934","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","",""
"","C017619","C017619","20199010553953","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","",""
"","C017617","C017617","20199010558251","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","","","","",""
"","C011083","C011083","20200010552545","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-5th Floor","Diagnostic & Treatment","DT525","","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"","C008487","C008487","20200010552687","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","","","","",""
"","C008489","","20200010552735","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","","","","",""
"","C017620","C017620","20204010557844","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","",""
"","AO005685-SCN","2022341-0113-SCN","2022341-0113-SCN","VIHA-NRGH-Nanaimo Regional General Hospital","","","DMND0005174","","Unknown Manufacturer Unknown Model Name Unknown Model Number"
"","AO005686-SCN","2022365-0011-SCN","2022365-0011-SCN","VIHA-NRGH-Nanaimo Regional General Hospital","","","DMND0005174","","Unknown Manufacturer Unknown Model Name Unknown Model Number"
"","AO005684-SCN","2022365-0021-SCN","2022365-0021-SCN","VIHA-NRGH-Nanaimo Regional General Hospital","","","DMND0005174","","Unknown Manufacturer Unknown Model Name Unknown Model Number"
"","AO005682-SCN","2022365-0067-SCN","2022365-0067-SCN","VIHA-NRGH-Nanaimo Regional General Hospital","","","DMND0005174","","Unknown Manufacturer Unknown Model Name Unknown Model Number"
"","AO005687-SCN","2022511-0103-SCN","2022511-0103-SCN","VIHA-NRGH-Nanaimo Regional General Hospital","","","DMND0005174","","Unknown Manufacturer Unknown Model Name Unknown Model Number"
"","AO005683-SCN","2022511-0107-SCN","2022511-0107-SCN","VIHA-NRGH-Nanaimo Regional General Hospital","","","DMND0005174","","Unknown Manufacturer Unknown Model Name Unknown Model Number"
"","C013262","C013262","20340010553680","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","OR#2","","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"","C013260","C013260","20340010553728","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004","","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"","C010538","C010538","20340010555413","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"AO400034-CRT","AO400034-SCN","C010546","20340010556473","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","","","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"","C010542","C010542","20340010556552","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","ASSESMENT RM #2","","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"","C018427","C018427","20351010560867","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","",""
"","C018428","C018427","20352010552929","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","","","","",""
"","C018656","C018656","21057010551319","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C018668","C018668","21057010551531","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C011448","C011448","21081010566803","VIHA-VGH-Victoria General Hospital","","1125","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C011446","C011446","21081010566849","VIHA-VGH-Victoria General Hospital","","1125","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C011454","C011454","21081010566880","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-1st Floor","Memorial Pavilion","HW127","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C011382","C011382","21084010569104","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-1st Floor","Memorial Pavilion","HW127","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C011247","C011247","21084010569142","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-1st Floor","Memorial Pavilion","HW127","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C011442","C011442","21084010569156","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C012949","C012949","220050-10558584","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","PO 1045148","","MOTOROLA HEALTHCARE SCANNER DS6878-HC"
"","C013291","C013291","22005010552081","VIHA-CDH-Cowichan District Hospital-Main Building","Main Building","","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C015580","C015580","22005010552537","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main","","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015691","C015691","22005010558413","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015690","C015690","22005010558556","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015687","C015687","22005010558563","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015638","C015638","22005010558569","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012570","C012570","22005010558570","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1055","","","Zebra BARCODE SCANNER DS8178-HC"
"","C015589","C015589","22005010558626","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","","","","MOTOROLA HEALTHCARE SCANNER DS8178A-HCMF00BVMWW"
"","C015584","C015584","22005010558653","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015581","C015581","22005010558829","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","","","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","166262","166217","22089010557267","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Ground Floor","Critical Care","310.3","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","166492","166492","22090010561080","VIHA-RJH-Royal Jubilee Hospital-Richmond Pavilion-Basement 1","","RP011","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","166263","166218","22090010561201","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-3rd Floor","Memorial Pavilion","KW312","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","166261","166216","22091010550491","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-3rd Floor","Memorial Pavilion","KW312","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","166265","166220","22091010550693","VIHA-SPH-Saanich Peninsula Hospital-Main Building-1st Floor","Main Building","1239","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","166266","166221","22091010550699","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-3rd Floor","Memorial Pavilion","KW312","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C015266","C015266","22111010555033","VIHA-VGH-Victoria General Hospital","","","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C015265","C015265","22111010555034","VIHA-VGH-Victoria General Hospital","","","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C015340","C015340","22111010555052","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C015448","C015448","22132010559976","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment","D&T","DT109","","","ZEBRA BARCODE SCANNER DS8108-HC"
"","C015711","C015711","22233010551373","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015956","C015956","22241010554910","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015955","C015955","22241010554911","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016018","C016018","22241010554977","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor","Main Building","","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015936","C015936","22241010554979","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C017372","C017372","22241010554979","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","MAIN","","","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"","C016026","C016026","22241010555006","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor","Main Building","","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015954","C015954","22241010555048","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015714","C015714","22241010555151","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015957","C015957","22241010555153","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016027","C016027","22241010558115","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor","Main Building","","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015937","C015937","22241010559294","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015940","C015940","22241010559308","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015938","C015938","22241010559318","VIHA-RJH-Royal Jubilee Hospital","","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015403","C015403","22250010550138","VIHA-ABER-Aberdeen Hospital","","ABS003","PO 1123717","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012706","C012706","22277010566771","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","1056213","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012718","C012718","22277010566796","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","1056203","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012715","C012715","22277010566814","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","1056201","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012708","C012708","22277010566830","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","1056213","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012707","C012707","22277010566836","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","1056213","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012710","C012710","22277010566838","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","1056213","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012717","C012717","22277010566843","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","1056203","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012709","C012709","22277010566844","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","1056213","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012716","C012716","22277010566884","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","1056201","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C015382","C015382","22317010550559","VIHA-ABER-Aberdeen Hospital","","ABS003","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016282","C016282","22317010550636","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012761","C012761","22317010550679","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main","B004","1076979","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016345","C016345","22318010559570","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016281","C016281","22357010550936","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016355","C016355","22357010550959","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012955","C012955","225050-10558911","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","PO 1045148","","MOTOROLA HEALTHCARE SCANNER DS6878-HC"
"","C016329","C016329","23004010552046","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C012959","C012959","230050-05558854","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","PO 1045148","","MOTOROLA HEALTHCARE SCANNER DS6878-HC"
"AO400620","C012952","C012952","230050-10556230","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","Hallway - Room 2","PO 1045148","","MOTOROLA HEALTHCARE SCANNER DS6878-HC"
"","C012951","C012951","230050-10556268","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","PO 1045148","","MOTOROLA HEALTHCARE SCANNER DS6878-HC"
"","C012956","C012956","230050-10556340","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","PO 1045148","","MOTOROLA HEALTHCARE SCANNER DS6878-HC"
"","C012957","C012957","230050-10556360","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","PO 1045148","","MOTOROLA HEALTHCARE SCANNER DS6878-HC"
"","C012950","C012950","230050-10556468","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","PO 1045148","","MOTOROLA HEALTHCARE SCANNER DS6878-HC"
"","C012958","C012958","230050-10664297","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","PO 1045148","","MOTOROLA HEALTHCARE SCANNER DS6878-HC"
"","C012960","C012960","230050-10666418","VIHA-NRGH-Nanaimo Regional General Hospital","Main","","PO 1045148","","MOTOROLA HEALTHCARE SCANNER DS6878-HC"
"","C016372","C016372","23013010550805","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016374","C016374","23013010550820","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016328","C016328","23013010550848","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","1055","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016340","C016340","23013010550876","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016371","C016371","23013010550945","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016285","C016285","23013010550955","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016456","C016456","230130105556011","VIHA-VGH-Victoria General Hospital-Main Building","Main Building","3540","","","Zebra BARCODE SCANNER DS8178-HC"
"","C016339","C016339","23013010555644","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016330","C016330","23013010555646","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016344","C016344","23013010555670","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016337","C016337","23013010555698","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016333","C016333","23013010555702","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016182","C016182","23013010555706","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor","Main Building","","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016366","C016366","23013010555707","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016353","C016353","23013010555729","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016341","C016341","23013010555731","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016342","C016342","23013010555739","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016327","C016327","23013010555747","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016326","C016326","23013010555752","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016364","C016364","23013010555812","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016347","C016347","23013010556006","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016332","C016332","23013010556043","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016360","C016360","23013010556059","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016346","C016346","23021010551067","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016164","C016164","23021010551143","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","OR#3","","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"","C016361","C016361","23021010551216","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016334","C016334","23021010551218","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016362","C016362","23021010551221","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016359","C016359","23021010551237","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016279","C016279","23021010551239","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","MAIN","HALL","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016350","C016350","23021010551270","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"AO005097-CRT","AO005097-SCN","C017068","23021010551277","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","Diagnostic & Treatment","DT1398","","","ZEBRA DS8178-HC Handheld Barcode Scanner"
"","C016280","C016280","23021010551280","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016376","C016376","23021010551286","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016188","C016188","23021010551318","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1055","","","Zebra BARCODE SCANNER DS8178-HC"
"","C016343","C016343","23021010551320","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016351","C016351","23021010551328","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016369","C016369","23021010551329","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016358","C016358","23021010551345","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016356","C016356","23021010551356","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016373","C016373","23021010553139","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016286","C016286","23021010553146","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016349","C016349","23021010553165","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016375","C016375","23021010553180","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C013281","C013281","23021010553193","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","ASSESMENT RM #1","","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"","C016336","C016336","23021010553241","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016357","C016357","23021010553260","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016363","C016363","23021010553262","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016283","C016283","23021010553264","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016352","C016352","23021010553273","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
"","C016162","C016162","23021010553275","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","","","","MOTOROLA HEALTHCARE SCANNER DS8178A-HCMF00BVMWW"
"","C016348","C016348","23021010553276","VIHA-RJH-Royal Jubilee Hospital","West Block","WB328","","","ZEBRA BARCODE SCANNER DS8178-HC"
