"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_scheduled_retirement","operational_status","u_last_rounded_date","comments","u_location_comments","u_device_rounding","u_department_location","location.u_deskside_assignment_group","u_category","model_id","short_description"
"AO400484","HSS-8078480","C23719M077","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WCMed Surg  - B1 Wing","2","VIHATRP20230918-068","10/31/2027","Operational","08/12/2026","","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400486","HSS-8092843","C25123M203","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","MedSurg  Wing B","2","VIHATRP20250331-039","04/30/2029","Operational","07/24/2026","","","Mobile Cart","WCG Nursing - Med/Sur","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V20",""
"AO400487","HSS-8078481","C23719M085","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med Surg B Wing","2","VIHATRP20230918-069","10/31/2027","Operational","07/02/2026","","","Mobile Cart","Med Surg","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400488","HSS-8078478","C23719M131","VIHA-WCGH-West Coast General Hospital","Port Alberni","Main Building","WC2601","2","VIHATRP20230918-066","10/31/2027","Operational","05/13/2026","","","Mobile Cart","Psychiatry","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400490","HSS-8078492","C23719M087","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2718","2","VIHATRP20230918-080","10/31/2027","Operational","05/12/2026","","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400491","HSS-8078501","C23719M091","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","Port Alberni","Main Building","1460 - Storage","1","VIHATRP20230918-089","10/31/2027","Operational","05/04/2026","","Locked Storage in Basement unaccesible and is not in use nor can be regularly rounded - SV","Excluded","ER/Med/Surg","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400492","HSS-8078483","C23719M083","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2503 - Pharmacy","2","VIHATRP20230918-071","10/31/2027","Operational","08/31/2026","","","Mobile Cart","Pharmacy","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400493","HSS-8078503","C23719M078","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med/Surg Wing C","2","VIHATRP20230918-091","10/31/2027","Operational","08/31/2026","","Labour and Delivery","Mobile Cart","Labour & Delivery","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400494","HSS-8078496","C23719M065","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WCAmb - Storage room","2","VIHATRP20230918-084","10/31/2027","Operational","08/05/2026","","","Mobile Cart","Emergency Department","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400496","HSS-8078499","C23719M054","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WCMedSurg Wing B","2","VIHATRP20230918-087","10/31/2027","Operational","08/12/2026","","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400498","HSS-8078489","C23719M079","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WCAmbulatory Care","2","VIHATRP20230918-077","10/31/2027","Operational","07/24/2026","","","Mobile Cart","WCAmbulatory Care","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
