"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_scheduled_retirement","operational_status","u_last_rounded_date","comments","u_location_comments","u_device_rounding","u_department_location","location.u_deskside_assignment_group","u_category","model_id","short_description"
"PC031267","HSS-8065020","5LR4XP3","VIHA-CRMHAS-Campbell River Mental Health & Addiction Services-Main Building-2nd Floor","Campbell River","Main Building","10","2","VIHATRP20220718-057","01/31/2027","Operational","07/24/2024","","","General Rounding","Mental Health and Addiction Services","NTT-Deskside Services-CampbellRiver-Local","Desktop","Dell OPTIPLEX 7000 MICRO V1",""
"PC026774","HSS-8085027","6VH4X04","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","Campbell River","Corporate","100","Whitehouse-1st Floor","VIHATRP20240101-025","04/30/2028","Operational","04/30/2024","","","General Rounding","Staffing(ESP) Rep-ZESPP1DL","NTT-Deskside Services-CampbellRiver-Staffed","Desktop","Dell OptiPlex Micro Plus 7010 V2",""
"LD032467","HSS-8066579","8HCJLN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","101","2","VIHATRP20220919-027","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD063801","HSS-1043138","DRLZ4X3","VIHA-CRPH-Campbell River Public Health-Main Building","Campbell River","Main Building","101 - WFH Angelica Ubando","1","REQ1004600-RITM1056810-SCTASK1689306","08/31/2027","Operational","07/25/2023","","","Excluded","'-","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7430 V1",""
"LD106143","HSS-8100318","SD006J6H","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","Campbell River","Primary Access Clinic","102","1st floor","ISLHTRP20260824-097","","Operational","","","","General Rounding","Whitehouse","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","LENOVO THINKPAD T14 GEN6 NT FPR 2x1",""
"LD065703","HSS-8066602","G1CJLN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","102 - Nancy Clements","2","VIHATRP20220919-050","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"PC025577","HSS-8087476","28Z0724","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","Campbell River","Corporate","102 - Reception","Whitehouse-1st Floor","VIHATRP20240610-038","07/31/2028","Operational","03/17/2026","","","General Rounding","NI Chronic Disease Mgmt","NTT-Deskside Services-CampbellRiver-Staffed","Desktop","Dell OptiPlex Micro Plus 7010 V2",""
"PC085403","HSS-1048222","BNX4L44","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","Campbell River","Whitehouse","102 - Reception","1","REQ1493539-RITM1575756-SCTASK2547545","10/31/2028","Operational","03/17/2026","","31Oct2024 RITM1575756
Dropped off  assets to Whitehouse Room 102. Left under table and informed staff to contact SD when ready to install.
LCD HSS-1048243 62C4TY3
LCD HSS-1048242 75Q5TY3
Desktop PC085403 HSS-1048222","General Rounding","Whitehouse","NTT-Deskside Services-CampbellRiver-Staffed","Desktop","Dell OptiPlex Micro Plus 7020 V1",""
"LD090262","HSS-1041279","FVQ3NN3","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","Campbell River","Whitehouse","103","1","REQ0835012-RITM0877330-SCTASK1395379","05/31/2027","Operational","03/17/2026","","","General Rounding","Positive Wellness North Island","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","Dell LATITUDE 7420 V3",""
"PC085053","HSS-1039741","1CNQQN3","VIHA-CRMC-Campbell River Marwalk Crescent-Main Building-1st Floor","Campbell River","CRMC","103","2","REQ0781186-RITM0820703-SCTASK1294885","01/31/2027","Operational","03/25/2024","","","General Rounding"," ","NTT-Deskside Services-CampbellRiver-Local","Desktop","Dell OPTIPLEX 7000 MICRO V1",""
"LD030567","HSS-8018025","PC162137","VIHA-CRMC-Campbell River Marwalk Crescent-Main Building-1st Floor","Campbell River","Main Building","103","1","","10/31/2022","Operational","03/25/2024","","","General Rounding","Facilities","NTT-Deskside Services-CampbellRiver-Local","Laptop","LENOVO THINKPAD T480S","LENOVO THNKPD T480s i5-8350 1.7GHZ 6MB 1"
"LD080925","HSS-1045736","815JGW3","VIHA-CRMC-Campbell River Marwalk Crescent-Main Building-1st Floor","Campbell River","Marwalk","103","2","REQ1244082-RITM1311094-SCTASK2100321","04/30/2028","Operational","","","RITM1311094 - deployed 22March2024","General Rounding","Marwalk","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7440 V7",""
"TD030241","HSS-8066591","FFDRTQ3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","103 - Charlene MacKinnon","2","VIHATRP20220919-039","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Tablet","DELL LATITUDE 9420",""
"LD024496","HSS-8094544","8Y5MR54","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","Campbell River","Corporate","104","Whitehouse-1st Floor","ISLHTRP20250721-055","03/31/2029","Operational","03/17/2026","","","General Rounding","CR Health and Wellness","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","Dell LATITUDE 7450 V4",""
"LD024498","HSS-8093922","26PZFW3","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","Campbell River","Whitehouse","104","Whitehouse-1st Floor","ISLHTRP20250616-060","03/31/2029","Operational","03/17/2026","","","General Rounding","CR Health and Wellness","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","Dell LATITUDE 7450 V4",""
"TD001682","HSS-8079377","2RJMCY3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Main Building","104","2nd Floor","VIHATRP20230916-057","11/30/2027","Operational","06/11/2026","","Environmental Health","General Rounding","Environmental Health","NTT-Deskside Services-CampbellRiver-Local","Tablet","DELL LATITUDE 9440 2-in-1 V1","LENOVO THNKPD T480s i5-8350 1.7GHZ 6MB 14 WIN 10 16GB"
"TD030540","HSS-8071434","6KK2VT3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","105","2","VIHATRP20230123-114","02/28/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Tablet","Dell LATITUDE 9430",""
"TD030230","HSS-8066595","JVXRTQ3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","105","2","VIHATRP20220919-043","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Tablet","DELL LATITUDE 9420",""
"LD106143LEG","HSS-1036960","9P7KLN3","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","Campbell River","Primary Access Clinic","105","1st floor","REQ1964529-RITM2074351-SCTASK3330310","11/30/2026","Operational","03/17/2026","Arrived at CRG IT office - RITM2074351
Redeployed 02Dec2025 RITM2074351","","General Rounding","Whitehouse","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","Dell LATITUDE 7420 V3",""
"LD065633","HSS-8066588","6ZMDLN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","106","2","VIHATRP20220919-036","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
