"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC022300","PC022300","HSS-8075613","CTJTVP3","VIHA-PRIO-Priory Hospital-Hiscock-1st Floor","Hiscock","Staff board Room  Basement","1","VIHATRP20230619-088","08/31/2031","NTT-Deskside Services-VictoriaGen-Local"
"LD066291","LD066291","HSS-8082436","CTKJTY3","VIHA-EHU-Esquimalt Health Unit-Main Building-1st Floor","Main building","Main building","1","VIHATRP20240115-040","03/31/2032","NTT-Deskside Services-VictoriaGen-Local"
"PC023556","PC023556","HSS-8025337","CTNKGC3","VIHA-SISC-South Island Surgical Centre-Eagle Creek Village Building 7-5th Floor","Main Building","OR #3","","VIHATRP20211227-023","06/30/2030","NTT-Deskside Services-VictoriaGen-Local"
"PC023506","PC023506","HSS-8068710","CV0RVP3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","North tower","N314","","VIHATRP20221107-094","02/28/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD065541","LD065541","HSS-8061345","CV3MVF3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","North tower","N215 C","2","VIHATRP20220808-225","10/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"PC085018","PC085018","HSS-1039124","CV3XDM3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","North tower","N306A","","REQ0721015-RITM0757675-SCTASK1220474","12/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"LD036397","LD036397","HSS-8058103","CV9JRH3","VIHA-CASA-Sooke Health Unit Public Health Nursing-Main Building-1st Floor","Main building","office 35","1","VIHATRP20220411-031","07/31/2030","NTT-Deskside Services-VictoriaGen-Local"
"PC049825","PC049825","HSS-8071992","CVDSVP3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","North tower","N258","","VIHATRP20230206-108","05/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD085684","LD085684","","CVFLTY3","VIHA-WSC-West Shore Centre-Main Building-1st Floor","Main building","1607","1","216790","01/31/2032","NTT-Deskside Services-VictoriaGen-Local"
"PC049880","PC049880","HSS-8080066","CVGLTY3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","2566","2","VIHATRP20231023-055","01/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"LD065362","LD065362","HSS-8058119","CW1LGC3","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","South tower","S526","5","VIHATRP20220411-044","07/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"PC031773","PC031773","HSS-8061377","CW6MVF3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","2856B","","VIHATRP20220808-247","10/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"PC033847","PC033847","HSS-8072462","CW6SVP3","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","North tower","N519D","","VIHATRP20230221-074","05/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
